# BEADS_RUST conformance cases: name<TAB>argv (JSON string array)
# Every case runs in the ws-run sandbox (scripts/ws-run.sh --help): a fresh workspace at /mnt/proj, a pinned
# instant, a cleared environment. Leading pseudo-arguments select the inputs:
#   @fx=<name>    goldens/fixtures/<name>.jsonl becomes .beads/issues.jsonl (default: empty; `none` = no .beads at all)
#   @time=<UTC>   the pinned instant (default 2026-01-02 03:04:05)
#   @scn=<name>   a multi-step scenario, goldens/scenarios/<name>.scn
# When a run changes the store, `--- .beads/issues.jsonl ---` (and last-touched) follow the command's stdout.
# Capture:  scripts/golden-capture.sh goldens/cases.tsv goldens --timeout 60 -- scripts/ws-run.sh --oracle br --no-db ::
# Floor:    scripts/floor.sh goldens/cases.tsv goldens --repeat 3 -- scripts/ws-run.sh --oracle br --no-db ::
# Check:    LANE_WRAP=scripts/ws-run.sh scripts/lanes.sh goldens/cases.tsv goldens "$PWD/port/main.bend"
usage_none	[]
search_plain	["@fx=basic", "search", "auth"]
search_json	["@fx=basic", "search", "auth", "--json"]
search_case_insensitive	["@fx=basic", "search", "AUTH"]
search_description	["@fx=basic", "search", "tables"]
search_none	["@fx=basic", "search", "zzzz"]
search_unicode	["@fx=basic", "search", "Ünï"]
search_status	["@fx=basic", "search", "work", "--status", "closed"]
count_plain	["@fx=basic", "count"]
count_json	["@fx=basic", "count", "--json"]
count_by_status	["@fx=basic", "count", "--by-status"]
count_by_priority_json	["@fx=basic", "count", "--by-priority", "--json"]
count_by_type	["@fx=basic", "count", "--by-type"]
count_by_assignee	["@fx=basic", "count", "--by-assignee"]
count_by_label	["@fx=basic", "count", "--by-label"]
count_include_closed	["@fx=basic", "count", "--include-closed"]
stats_plain	["@fx=basic", "stats"]
stats_json	["@fx=basic", "stats", "--json"]
dep_list	["@fx=basic", "dep", "list", "proj-170"]
dep_list_json	["@fx=basic", "dep", "list", "proj-170", "--json"]
dep_list_none	["@fx=basic", "dep", "list", "proj-ptp"]
dep_tree	["@fx=basic", "dep", "tree", "proj-uly"]
dep_tree_json	["@fx=basic", "dep", "tree", "proj-uly", "--json"]
dep_tree_leaf	["@fx=basic", "dep", "tree", "proj-mta"]
dep_cycles	["@fx=basic", "dep", "cycles"]
dep_cycles_json	["@fx=basic", "dep", "cycles", "--json"]
label_list	["@fx=basic", "label", "list", "proj-mta"]
label_list_json	["@fx=basic", "label", "list", "proj-mta", "--json"]
label_list_all	["@fx=basic", "label", "list-all"]
label_list_all_json	["@fx=basic", "label", "list-all", "--json"]
comments_list	["@fx=basic", "comments", "list", "proj-ptp"]
comments_list_json	["@fx=basic", "comments", "list", "proj-ptp", "--json"]
comments_list_empty	["@fx=basic", "comments", "list", "proj-mta"]
epic_status	["@fx=basic", "epic", "status"]
epic_status_json	["@fx=basic", "epic", "status", "--json"]
epic_close_eligible_none	["@fx=basic", "epic", "close-eligible"]
epic_close_eligible_dry_run	["@fx=basic", "epic", "close-eligible", "--dry-run"]
epic_close_eligible_none_json	["@fx=basic", "epic", "close-eligible", "--json"]
epic_close_eligible_dry_run_json	["@fx=basic", "epic", "close-eligible", "--dry-run", "--json"]
create_min	["create", "First issue"]
create_min_json	["create", "First issue", "--json"]
create_full_json	["@fx=basic", "create", "Full issue", "-t", "feature", "-p", "0", "-d", "A description.", "-a", "carol", "--owner", "dave", "-l", "one,two", "-e", "90", "--due", "2026-03-01", "--external-ref", "gh-42", "--acceptance-criteria", "It works.", "--json"]
create_title_flag	["create", "--title", "Via flag"]
create_silent	["create", "Silent one", "--silent"]
create_quiet	["create", "Quiet one", "--quiet"]
create_dry_run	["create", "Not written", "--dry-run"]
create_dry_run_json	["create", "Not written", "--dry-run", "--json"]
create_with_parent	["@fx=basic", "create", "Child task", "--parent", "proj-uly", "--json"]
create_with_deps	["@fx=basic", "create", "Dependent", "--deps", "proj-mta", "--json"]
create_status_in_progress	["create", "Started", "-s", "in_progress", "--json"]
create_priority_p_form	["create", "P form", "-p", "P3", "--json"]
create_custom_type	["create", "Custom typed", "-t", "spike", "--json"]
create_unicode	["create", "日本語のタイトル 🚀", "-d", "quote \" slash \\ bell \u0007 del  nbsp  ", "--json"]
create_ephemeral	["create", "Scratch", "--ephemeral", "--json"]
error_create_bad_priority	["create", "X", "-p", "9"]
error_create_bad_priority_json	["create", "X", "-p", "9", "--json"]
error_create_empty_title	["create", ""]
error_create_blank_title	["create", "   "]
error_create_long_title	["create", "ttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt"]
edge_create_max_title	["create", "tttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt", "--json"]
error_create_missing_parent	["@fx=basic", "create", "Orphan", "--parent", "proj-zzz"]
error_create_bad_label	["create", "X", "-l", "bad label!"]
q_basic	["q", "Quick one"]
q_priority	["q", "Quick urgent", "-p", "0"]
update_status	["@fx=basic", "update", "proj-mta", "--status", "in_progress"]
update_status_json	["@fx=basic", "update", "proj-mta", "--status", "in_progress", "--json"]
update_priority	["@fx=basic", "update", "proj-mta", "-p", "0"]
update_title	["@fx=basic", "update", "proj-mta", "--title", "Renamed", "--json"]
update_assignee	["@fx=basic", "update", "proj-mta", "--assignee", "erin", "--json"]
update_claim	["@fx=basic", "update", "proj-mta", "--claim", "--json"]
update_notes	["@fx=basic", "update", "proj-mta", "--notes", "Some notes.", "--json"]
update_add_label	["@fx=basic", "update", "proj-mta", "--add-label", "urgent", "--json"]
update_remove_label	["@fx=basic", "update", "proj-mta", "--remove-label", "db", "--json"]
update_set_labels	["@fx=basic", "update", "proj-mta", "--set-labels", "x,y", "--json"]
update_two_ids	["@fx=basic", "update", "proj-mta", "proj-5u2", "-p", "4"]
update_noop_same_value	["@fx=basic", "update", "proj-mta", "-p", "1", "--json"]
update_status_closed	["@fx=basic", "update", "proj-5u2", "--status", "closed", "--json"]
update_last_touched	["@fx=basic_touched", "update", "--status", "in_progress"]
error_update_missing	["@fx=basic", "update", "proj-zzz", "-p", "1"]
error_update_bad_priority	["@fx=basic", "update", "proj-mta", "-p", "7"]
error_update_blocked_claim	["@fx=basic", "update", "proj-170", "--claim"]
close_basic	["@fx=basic", "close", "proj-mta"]
close_quiet	["@fx=basic", "close", "proj-mta", "--quiet"]
close_reason_json	["@fx=basic", "close", "proj-mta", "--reason", "Shipped", "--json"]
close_suggest_next	["@fx=basic", "close", "proj-mta", "--suggest-next", "--json"]
close_two	["@fx=basic", "close", "proj-mta", "proj-5u2"]
error_close_blocked	["@fx=basic", "close", "proj-170"]
close_blocked_quiet	["@fx=basic", "close", "proj-170", "--quiet"]
error_close_blocked_json	["@fx=basic", "close", "proj-170", "--json"]
close_blocked_force	["@fx=basic", "close", "proj-170", "--force", "--json"]
close_already_closed	["@fx=basic", "close", "proj-mkh"]
error_close_missing	["@fx=basic", "close", "proj-zzz"]
close_epic_with_open_child	["@fx=basic", "close", "proj-uly"]
reopen_closed	["@fx=basic", "reopen", "proj-mkh"]
reopen_quiet	["@fx=basic", "reopen", "proj-mkh", "--quiet"]
reopen_closed_json	["@fx=basic", "reopen", "proj-mkh", "--reason", "Regressed", "--json"]
reopen_open	["@fx=basic", "reopen", "proj-mta"]
error_reopen_missing	["@fx=basic", "reopen", "proj-zzz"]
defer_until_date	["@fx=basic", "defer", "proj-mta", "--until", "2027-06-01", "--json"]
defer_quiet	["@fx=basic", "defer", "proj-mta", "--until", "2026-03-01", "--quiet"]
defer_no_until	["@fx=basic", "defer", "proj-mta"]
defer_relative	["@fx=basic", "defer", "proj-mta", "--until", "+1h", "--json"]
error_defer_bad_until	["@fx=basic", "defer", "proj-mta", "--until", "not-a-date"]
undefer_basic	["@fx=basic", "undefer", "proj-7vm", "--json"]
undefer_quiet	["@fx=basic", "undefer", "proj-7vm", "--quiet"]
undefer_not_deferred	["@fx=basic", "undefer", "proj-mta"]
delete_basic	["@fx=basic", "delete", "proj-5u2"]
delete_quiet	["@fx=basic", "delete", "proj-5u2", "--quiet"]
delete_json	["@fx=basic", "delete", "proj-5u2", "--reason", "Duplicate", "--json"]
delete_dry_run	["@fx=basic", "delete", "proj-5u2", "--dry-run"]
delete_with_dependents	["@fx=basic", "delete", "proj-mta"]
delete_with_dependents_force	["@fx=basic", "delete", "proj-mta", "--force"]
delete_cascade	["@fx=basic", "delete", "proj-mta", "--cascade", "--json"]
error_delete_missing	["@fx=basic", "delete", "proj-zzz"]
dep_add_blocks	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta"]
dep_add_quiet	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--quiet"]
dep_add_json	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--json"]
dep_add_related	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "related"]
dep_add_custom_type	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "inspired-by", "--json"]
error_dep_add_cycle	["@fx=basic", "dep", "add", "proj-mta", "proj-170"]
error_dep_add_cycle_json	["@fx=basic", "dep", "add", "proj-mta", "proj-170", "--json"]
error_dep_add_self	["@fx=basic", "dep", "add", "proj-mta", "proj-mta"]
error_dep_add_self_json	["@fx=basic", "dep", "add", "proj-mta", "proj-mta", "--json"]
dep_add_duplicate	["@fx=basic", "dep", "add", "proj-170", "proj-mta"]
error_dep_add_missing	["@fx=basic", "dep", "add", "proj-mta", "proj-zzz"]
error_dep_add_second_parent	["@fx=basic", "dep", "add", "proj-170", "proj-mta", "-t", "parent-child"]
error_dep_add_second_parent_json	["@fx=basic", "dep", "add", "proj-170", "proj-mta", "-t", "parent-child", "--json"]
dep_add_external	["@fx=basic", "dep", "add", "proj-mta", "external:other-1"]
dep_remove_basic	["@fx=basic", "dep", "remove", "proj-170", "proj-mta", "--json"]
dep_remove_typed	["@fx=basic", "dep", "remove", "proj-170", "proj-uly", "-t", "parent-child", "--json"]
dep_remove_absent	["@fx=basic", "dep", "remove", "proj-mta", "proj-ptp"]
dep_remove_absent_json	["@fx=basic", "dep", "remove", "proj-mta", "proj-ptp", "--json"]
label_add	["@fx=basic", "label", "add", "proj-ptp", "urgent"]
label_add_quiet	["@fx=basic", "label", "add", "proj-ptp", "urgent", "--quiet"]
label_add_json	["@fx=basic", "label", "add", "proj-ptp", "urgent", "--json"]
label_add_existing	["@fx=basic", "label", "add", "proj-mta", "db"]
label_add_existing_json	["@fx=basic", "label", "add", "proj-mta", "db", "--json"]
error_label_add_invalid	["@fx=basic", "label", "add", "proj-ptp", "bad label!"]
error_label_add_invalid_json	["@fx=basic", "label", "add", "proj-ptp", "bad label!", "--json"]
label_remove	["@fx=basic", "label", "remove", "proj-mta", "db", "--json"]
label_remove_absent	["@fx=basic", "label", "remove", "proj-mta", "nope"]
label_remove_absent_json	["@fx=basic", "label", "remove", "proj-mta", "nope", "--json"]
label_rename	["@fx=basic", "label", "rename", "backend", "server", "--json"]
label_rename_absent	["@fx=basic", "label", "rename", "nosuch", "other"]
label_rename_same	["@fx=basic", "label", "rename", "backend", "backend"]
label_rename_merge	["@fx=basic", "label", "rename", "backend", "db", "--json"]
label_add_flag_two	["@fx=basic", "label", "add", "proj-mta", "-l", "x,y", "--json"]
comments_add	["@fx=basic", "comments", "add", "proj-mta", "Looks good."]
comments_add_quiet	["@fx=basic", "comments", "add", "proj-mta", "Quietly.", "--quiet"]
comments_add_json	["@fx=basic", "comments", "add", "proj-mta", "Looks good.", "--json"]
comments_add_author	["@fx=basic", "comments", "add", "proj-mta", "--author", "zoe", "-m", "Flag form", "--json"]
comments_add_second	["@fx=basic", "comments", "add", "proj-ptp", "A second comment.", "--json"]
comments_add_words	["@fx=basic", "comments", "add", "proj-mta", "one", "two", "three", "--json"]
error_comments_add_empty	["@fx=basic", "comments", "add", "proj-mta", ""]
error_comments_add_empty_json	["@fx=basic", "comments", "add", "proj-mta", "", "--json"]
error_comments_add_missing	["@fx=basic", "comments", "add", "proj-zzz", "hi"]
error_comments_add_no_text	["@fx=basic", "comments", "add", "proj-mta"]
actor_flag_create	["create", "By actor", "--actor", "robot-7", "--json"]
actor_flag_comment	["@fx=basic", "comments", "add", "proj-mta", "From a robot.", "--actor", "robot-7", "--json"]
actor_flag_dep_add	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--actor", "robot-7"]
actor_flag_delete	["@fx=basic", "delete", "proj-5u2", "--actor", "robot-7", "--reason", "Obsolete"]
actor_flag_label_add	["@fx=basic", "label", "add", "proj-ptp", "urgent", "--actor", "robot-7", "--json"]
edge_precision_list_json	["@fx=precision", "list", "--json"]
edge_precision_ready	["@fx=precision", "ready"]
edge_precision_sort_created	["@fx=precision", "list", "--sort", "created_at"]
edge_precision_sort_title	["@fx=precision", "list", "--sort", "title"]
edge_precision_show_json	["@fx=precision", "show", "proj-aaf", "--json"]
edge_precision_rewrite	["@fx=precision", "update", "proj-aaf", "-p", "1", "--json"]
edge_large_count	["@fx=large", "count"]
edge_large_list_limit	["@fx=large", "list", "--limit", "2"]
edge_large_create	["@fx=large", "create", "One more"]
error_conflict_markers	["@fx=conflict", "list"]
error_conflict_markers_json	["@fx=conflict", "list", "--json"]
error_malformed_jsonl	["@fx=malformed", "list"]
error_malformed_jsonl_json	["@fx=malformed", "list", "--json"]
# --- clap surface per in-scope command (the Usage line each command prints) and argument syntax forms ---
usage_badflag_create	["create", "--zzqq"]
usage_badflag_q	["q", "--zzqq"]
usage_badflag_update	["update", "--zzqq"]
usage_badflag_close	["close", "--zzqq"]
usage_badflag_reopen	["reopen", "--zzqq"]
usage_badflag_defer	["defer", "--zzqq"]
usage_badflag_undefer	["undefer", "--zzqq"]
usage_badflag_delete	["delete", "--zzqq"]
usage_badflag_show	["show", "--zzqq"]
usage_badflag_list	["list", "--zzqq"]
usage_badflag_search	["search", "--zzqq"]
usage_badflag_count	["count", "--zzqq"]
usage_badflag_stats	["stats", "--zzqq"]
usage_badflag_ready	["ready", "--zzqq"]
usage_badflag_blocked	["blocked", "--zzqq"]
usage_badflag_dep_add	["dep", "add", "--zzqq"]
usage_badflag_dep_remove	["dep", "remove", "--zzqq"]
usage_badflag_dep_list	["dep", "list", "--zzqq"]
usage_badflag_dep_tree	["dep", "tree", "--zzqq"]
usage_badflag_dep_cycles	["dep", "cycles", "--zzqq"]
usage_badflag_label_add	["label", "add", "--zzqq"]
usage_badflag_label_remove	["label", "remove", "--zzqq"]
usage_badflag_label_list	["label", "list", "--zzqq"]
usage_badflag_label_list_all	["label", "list-all", "--zzqq"]
usage_badflag_label_rename	["label", "rename", "--zzqq"]
usage_badflag_comments_add	["comments", "add", "--zzqq"]
usage_badflag_comments_list	["comments", "list", "--zzqq"]
usage_badflag_epic_status	["epic", "status", "--zzqq"]
usage_badflag_epic_close_eligible	["epic", "close-eligible", "--zzqq"]
usage_badflag_where	["where", "--zzqq"]
usage_badflag_version	["version", "--zzqq"]
usage_value_eq_form	["@fx=basic", "list", "--limit=1", "--json"]
usage_short_combined	["@fx=basic", "list", "-rs", "open"]
usage_short_attached_value	["@fx=basic", "list", "-p1", "--json"]
usage_double_dash_positional	["@fx=basic", "show", "--", "proj-170"]
usage_flag_after_positional	["@fx=basic", "show", "proj-170", "--json"]
usage_global_before_cmd	["@fx=basic", "--json", "list"]
usage_help_flag_top	["--help"]
usage_help_list	["list", "--help"]
usage_similar_subcommand	["lst"]
usage_similar_flag_in_cmd	["list", "--jsno"]
usage_priority_bad_value	["@fx=basic", "list", "-p", "nine"]
usage_dep_unknown_sub	["dep", "frob"]
usage_similar_subcommand_one	["wher"]
usage_similar_sub_in_group	["dep", "ad"]
usage_unknown_flag_top_plain	["--zzqq"]
usage_unknown_flag_after_used	["list", "--json", "--zzqq"]
usage_unknown_flag_used_positional	["@fx=basic", "show", "proj-170", "--jsno"]
usage_unknown_short	["list", "-z"]
usage_unknown_short_in_cluster	["list", "-az"]
usage_unexpected_positional	["list", "extra"]
usage_second_positional	["create", "a", "b"]
usage_value_pending_then_flag	["list", "--limit", "--json"]
usage_value_pending_then_unknown	["list", "--limit", "--zzqq"]
usage_value_negative	["list", "--limit", "-1"]
usage_value_eq_empty	["list", "--limit="]
usage_flag_with_value	["list", "--json=true"]
usage_u8_range	["list", "--priority-min", "300"]
usage_enum_by	["count", "--by", "bogus"]
usage_enum_direction	["@fx=basic", "dep", "list", "proj-170", "--direction", "sideways"]
usage_enum_format	["list", "--format", "bogus"]
usage_enum_ready_sort	["ready", "--sort", "bogus"]
usage_missing_with_used_flag	["search", "--json"]
usage_missing_two	["dep", "add"]
usage_missing_rename	["label", "rename", "old"]
usage_missing_comments_add	["comments", "add"]
usage_conflict_wrap	["@fx=basic", "show", "proj-170", "--wrap", "--no-wrap"]
usage_conflict_force_cascade	["@fx=basic", "delete", "proj-5u2", "--force", "--cascade"]
usage_conflict_title	["create", "A", "--title", "B"]
usage_conflict_assignee_unassigned	["ready", "--assignee", "bob", "--unassigned"]
usage_help_subcommand	["help"]
usage_help_short_list	["list", "-h"]
usage_comments_alone	["@fx=basic", "comments"]
usage_q_alone	["q"]
usage_verbose_counted	["@fx=basic", "count", "-vv"]
usage_hyphen_value_description	["create", "T", "-d", "--not-a-flag"]
usage_hyphen_value_reason	["@fx=basic", "close", "proj-5u2", "-r", "-x"]
usage_alias_body	["create", "T", "--body", "via alias"]
usage_alias_status_cmd	["@fx=basic", "status", "--json"]
usage_alias_dep_rm	["@fx=basic", "dep", "rm", "proj-170", "proj-mta"]
usage_global_twice_across_levels	["@fx=basic", "--json", "count", "--json"]
usage_lock_timeout_bad	["list", "--lock-timeout", "x"]
usage_estimate_bad	["create", "T", "-e", "1.5"]
usage_dash_alone_positional	["@fx=basic", "show", "-"]
usage_enum_format_show	["show", "--format", "bogus"]
usage_enum_format_stats	["stats", "--format", "bogus"]
usage_enum_format_ready	["ready", "--format", "bogus"]
usage_enum_format_blocked	["blocked", "--format", "bogus"]
usage_enum_format_dep_list	["dep", "list", "x", "--format", "bogus"]
usage_enum_tree_direction	["dep", "tree", "x", "--direction", "sideways"]
usage_enum_similar_value	["count", "--by", "statu"]
usage_similar_flag_tie	["list", "--lon"]
usage_dep_flag_only	["dep", "--json"]
usage_conflict_wrap_reversed	["@fx=basic", "show", "proj-170", "--no-wrap", "--wrap"]
usage_help_subcommand_list	["help", "list"]
usage_limit_twice	["list", "--limit", "1", "--limit", "2"]
usage_limit_overflow	["list", "--limit", "18446744073709551616"]
usage_limit_plus	["@fx=basic", "list", "--limit", "+1", "--json"]
usage_comments_similar_sub	["@fx=basic", "comments", "lis"]
usage_estimate_range	["create", "T", "-e", "2147483648"]
usage_estimate_i64_overflow	["create", "T", "-e", "-9223372036854775809"]
usage_update_description_dash	["@fx=basic", "update", "proj-mta", "-d", "-x"]
usage_q_description_dash	["q", "T", "-d", "-x"]
usage_count_short_p	["@fx=basic", "count", "-p", "1"]
usage_top_json_twice	["--json", "--json", "list"]
usage_no_db_explicit_sub	["@fx=basic", "count", "--no-db"]
usage_version_flag	["--version"]
usage_help_after_bad	["list", "--zzqq", "--help"]
usage_help_before_bad	["list", "--help", "--zzqq"]
# --- DISC-005: ambiguous partial ids (candidate order canonicalized by ws_inner.py) ; OQ-003: version ---
error_show_ambiguous_json	["@fx=basic", "show", "m", "--json"]
error_update_ambiguous	["@fx=basic", "update", "m", "-p", "1"]
version_plain	["version"]
version_json	["version", "--json"]
scn_lifecycle	["@scn=lifecycle"]
scn_epic_close_eligible	["@scn=epic_close_eligible"]
scn_epic_close_eligible_plain	["@scn=epic_close_eligible_plain"]
scn_delete_twice	["@scn=delete_twice"]
scn_last_touched	["@scn=last_touched"]
scn_dup_title	["@scn=dup_title"]
scn_child_ids	["@scn=child_ids"]
dep_tree_depth	["@fx=basic","dep","tree","proj-170"]
dep_tree_depth_json	["@fx=basic","dep","tree","proj-170","--json"]
dep_tree_deep	["@fx=basic","dep","tree","proj-5u2"]
dep_tree_deep_json	["@fx=basic","dep","tree","proj-5u2","--json"]
dep_tree_diamond	["@fx=graph","dep","tree","proj-697"]
dep_tree_diamond_json	["@fx=graph","dep","tree","proj-697","--json"]
dep_tree_back_edge	["@fx=graph","dep","tree","proj-9vw"]
dep_tree_back_edge_json	["@fx=graph","dep","tree","proj-9vw","--json"]
dep_cycles_graph	["@fx=graph","dep","cycles"]
dep_cycles_graph_json	["@fx=graph","dep","cycles","--json"]
dep_list_graph_parent	["@fx=graph","dep","list","proj-a14"]
dep_list_graph_none	["@fx=graph","dep","list","proj-tip"]
blocked_graph	["@fx=graph","blocked"]
blocked_graph_json	["@fx=graph","blocked","--json"]
ready_graph	["@fx=graph","ready"]
ready_graph_json	["@fx=graph","ready","--json"]
list_graph	["@fx=graph","list"]
show_graph_root	["@fx=graph","show","proj-697"]
show_graph_root_json	["@fx=graph","show","proj-697","--json"]
dep_tree_repeat	["@fx=hierarchy","dep","tree","proj-6ja"]
dep_tree_repeat_json	["@fx=hierarchy","dep","tree","proj-6ja","--json"]
dep_tree_max_depth	["@fx=hierarchy","dep","tree","proj-6ja","--max-depth","2"]
dep_tree_max_depth_json	["@fx=hierarchy","dep","tree","proj-6ja","--max-depth","2","--json"]
dep_tree_max_depth_1	["@fx=hierarchy","dep","tree","proj-6ja","--max-depth","1"]
dep_tree_max_depth_0	["@fx=hierarchy","dep","tree","proj-6ja","--max-depth","0","--json"]
dep_tree_up	["@fx=hierarchy","dep","tree","proj-ig8","--direction","up"]
dep_tree_up_json	["@fx=hierarchy","dep","tree","proj-ig8","--direction","up","--json"]
dep_tree_both	["@fx=hierarchy","dep","tree","proj-in9","--direction","both"]
